,Iset,Iact,Vmax,wlen_mean
0,60.0,59.99762767710049,0.028,637.4046330334637
1,60.5,59.99762767710049,0.0752,637.4046341828002
2,61.0,60.992948929159795,0.048,637.385385481352
3,61.5,60.976079077429986,0.048,637.3854127562396
4,62.0,61.99670510708401,0.0568,637.386168952989
5,62.5,61.99670510708402,0.032,637.3861831464802
6,63.0,63.01733113673805,0.1232,637.4129225364596
7,63.5,63.01733113673806,0.0688,637.4129425502318
8,64.0,63.99578253706754,0.1384,637.4135879461907
9,64.5,63.99578253706754,0.0784,637.4136018889799
10,65.0,64.99953871499176,0.0712,637.3946607664363
11,65.5,64.97423393739703,0.0728,637.394677885089
12,66.0,66.02859967051072,0.0088,637.3953405927513
13,66.5,66.01172981878088,0.1384,637.3952452598012
14,67.0,67.00705107084019,0.152,637.4219907877817
15,67.5,66.99018121911038,0.152,637.4220086914992
16,68.0,68.01080724876441,0.152,637.4226305839703
17,68.5,68.0023723228995,0.152,637.4226422656287
18,69.0,69.01456342668862,0.0048,637.4038194165214
19,69.5,69.02299835255354,0.152,637.4038328940633
20,70.0,70.01831960461286,0.152,637.4299414633125
21,70.5,70.02675453047776,0.152,637.4298772757421
22,71.0,70.99677100494233,0.0864,637.4310689494721
23,71.5,71.00520593080725,0.0856,637.4310823671935
24,72.0,72.00896210873145,0.0168,637.3869598491752
25,72.5,72.01739703459637,0.0064,637.4117555669083
26,73.0,73.00428336079078,0.152,637.4129239229712
27,73.5,73.0211532125206,0.152,637.412937898527
28,74.0,74.00803953871498,0.0176,637.4392158212225
29,74.5,74.01647446457989,0.0696,637.4392703558767
30,75.0,75.01179571663921,0.152,637.3947512449915
31,75.5,75.02023064250412,0.152,637.3947624143686
32,76.0,75.99868204283362,0.0168,637.421260540054
33,76.5,76.03242174629325,0.152,637.4212966260385
34,77.0,77.01087314662273,0.152,637.422103823341
35,77.5,77.00243822075782,0.152,637.4221172171705
36,78.0,78.03993410214167,0.152,637.4485579217161
37,78.5,77.99775947281714,0.152,637.4485897316093
38,79.0,79.03525535420098,0.0496,637.4126898133894
39,79.5,79.01838550247118,0.0544,637.4078272610915
40,80.0,80.0390115321252,0.152,637.4306087880519
41,80.5,80.0305766062603,0.1408,637.4306275217211
42,81.0,81.00902800658979,0.0496,637.4312404831607
43,81.5,81.01746293245469,0.012,637.4312426406548
44,82.0,82.03808896210873,0.152,637.4125536130764
45,82.5,82.01278418451399,0.152,637.4125637374364
46,83.0,83.0165403624382,0.0608,637.4387666996937
47,83.5,83.04184514003295,0.1024,637.4388510139237
48,84.0,84.01186161449752,0.0048,637.4398959030357
49,84.5,84.02873146622734,0.1,637.4399099600595
50,85.0,85.01561779242174,0.152,637.4210121841646
51,85.5,85.04092257001648,0.152,637.4210438481542
52,86.0,86.02780889621087,0.1224,637.4215333269458
53,86.5,86.03624382207579,0.1464,637.4214772589971
54,87.0,87.03999999999999,0.152,637.4483889759678
55,87.5,87.03156507413507,0.152,637.448413415917
56,88.0,88.01845140032948,0.0296,637.4488825098414
57,88.5,88.04375617792422,0.032,637.4488795627808
58,89.0,89.0222075782537,0.1424,637.4304541636418
59,89.5,89.03907742998354,0.1496,637.4304682538342
60,90.0,90.03439868204282,0.1472,637.4569459947746
61,90.5,90.03439868204282,0.0416,637.4569112181674
62,91.0,91.02971993410213,0.0168,637.4575846868759
63,91.5,91.05502471169686,0.152,637.4576006710288
64,92.0,92.00817133443164,0.016,637.4390024268795
65,92.5,92.04191103789127,0.0176,637.439029499345
66,93.0,93.03723228995057,0.0208,637.4395349485204
67,93.5,93.02036243822076,0.0336,637.4395333209903
68,94.0,94.0409884678748,0.152,637.4210824026875
69,94.5,94.03255354200988,0.152,637.4211000753094
70,95.0,95.06161449752881,0.028,637.4257351469261
71,95.5,95.02787479406918,0.0672,637.447071188549
72,96.0,96.06537067545304,0.152,637.4484569972666
73,96.5,96.0231960461285,0.152,637.4484667822913
74,97.0,97.04382207578254,0.152,637.4297017577302
75,97.5,97.06912685337727,0.152,637.4297297213342
76,98.0,98.02227347611202,0.124,637.4300732333505
77,98.5,98.06444810543655,0.14,637.4300476414691
78,99.0,99.05133443163098,0.152,637.4569077886047
79,99.5,99.05133443163098,0.152,637.4569360803989
80,100.0,100.03822075782537,0.0752,637.4578212484179
81,100.5,100.03822075782537,0.0344,637.411422198019
82,101.0,101.0672817133443,0.1464,637.4391224803737
83,101.5,101.0588467874794,0.152,637.4391130589537
84,102.0,102.05416803953872,0.0248,635.1829139229932
85,102.5,102.028863261944,0.1504,631.85515812577
86,103.0,103.04105436573312,0.1,637.4205404794491
87,103.5,103.04948929159802,0.1008,637.4205504447777
88,104.0,104.03637561779242,0.008,637.4479781468644
89,104.5,104.02794069192751,0.0056,637.4479976506581
90,105.0,105.04856672158155,0.0224,637.4021018312952
91,105.5,105.04856672158155,0.0248,637.4022273661222
92,106.0,106.06919275123558,0.088,637.4297683407216
93,106.5,106.04388797364085,0.0248,637.4297443300119
94,107.0,107.06451400329489,0.152,637.4564803958442
95,107.5,107.04764415156507,0.152,637.4565154042015
96,108.0,108.0682701812191,0.152,637.4569242290372
97,108.5,108.05983525535419,0.152,637.4569082973054
98,109.0,109.04672158154858,0.152,637.4387650510591
99,109.5,109.0551565074135,0.1168,637.4387535065047
100,110.0,110.08421746293246,0.152,637.4649947150614
101,110.5,110.0420428336079,0.1088,637.464957781258
102,111.0,111.06266886326193,0.0608,637.4656882688527
103,111.5,111.07110378912685,0.152,637.465678888893
104,112.0,112.07485996705107,0.152,637.4477120792839
105,112.5,112.03268533772652,0.152,637.4477147363272
106,113.0,113.07861614497529,0.152,637.447561277145
107,113.5,113.06174629324548,0.1024,637.447543094225
108,114.0,114.05706754530478,0.152,637.4744279992674
109,114.5,114.0739373970346,0.0408,637.4292935157843
110,115.0,115.06082372322899,0.152,637.4563555820082
111,115.5,115.06082372322899,0.152,637.4563843013555
112,116.0,116.06457990115321,0.0304,637.4565177714857
113,116.5,116.08144975288303,0.032,637.4565036014978
114,117.0,117.09364085667215,0.152,637.482915780555
115,117.5,117.08520593080723,0.152,637.4829517312244
116,118.0,118.07209225700166,0.0672,637.4646264308882
117,118.5,118.07209225700166,0.152,637.4648229175217
118,119.0,119.05054365733113,0.152,637.4653298382569
119,119.5,119.08428336079076,0.152,637.4654076595207
120,120.0,120.06273476112025,0.152,637.4473439909193
121,120.5,120.07116968698517,0.0336,637.4473318766384
122,121.0,121.07492586490939,0.0824,637.4019106638883
123,121.5,121.05805601317957,0.0656,637.4018542061237
124,122.0,122.07024711696869,0.028,637.4288321484779
125,122.5,122.07024711696869,0.152,637.4287955419007
126,123.0,123.07400329489292,0.152,637.456235415462
127,123.5,123.08243822075782,0.152,637.4562250674295
128,124.0,124.06932454695223,0.152,637.4111426799828
129,124.5,124.07775947281714,0.152,637.4111921525243
130,125.0,125.07308072487643,0.056,637.4378659453906
131,125.5,125.07308072487643,0.0808,637.4378595564295
132,126.0,126.06840197693575,0.152,637.4649716952779
133,126.5,126.10214168039539,0.152,637.4649653031181
134,127.0,127.06372322899506,0.152,637.4200940144797
135,127.5,127.09746293245468,0.152,637.4201243569299
136,128.0,128.09278418451402,0.0896,637.4468058804822
137,128.5,128.0674794069193,0.0872,637.4467911942713
138,129.0,129.10497528830314,0.152,637.4737066279899
139,129.5,129.0796705107084,0.152,637.4736961296686
140,130.0,130.09186161449753,0.06,637.4289708634582
141,130.5,130.0749917627677,0.068,637.4289652529169
142,131.0,131.09561779242176,0.152,637.4558518420544
143,131.5,131.08718286655684,0.152,637.4556578844727
144,132.0,132.10780889621088,0.0696,637.4376643197246
145,132.5,132.07406919275124,0.152,637.4376516666327
146,133.0,133.09469522240528,0.0992,637.4377912926855
147,133.5,133.07782537067544,0.1008,637.4377791618813
148,134.0,134.07314662273478,0.152,637.4647366662283
149,134.5,134.0900164744646,0.152,637.4647144900044
150,135.0,135.08533772652387,0.0984,637.4466273392229
151,135.5,135.0937726523888,0.1064,637.44661795416
152,136.0,136.09752883031302,0.0872,637.5177563073171
153,136.5,136.11439868204283,0.0696,637.5177803153279
154,137.0,137.10128500823723,0.152,637.4734177851607
155,137.5,137.0759802306425,0.152,637.473396569735
156,138.0,138.10504118616143,0.0816,637.4555497097449
157,138.5,138.10504118616143,0.0488,637.4555403129995
158,139.0,139.07505766062604,0.0544,637.4374019390817
159,139.5,139.10879736408566,0.0584,637.4373864040023
